lat,long,depth,xm
39.04,40.38,10,4.1
40.79,30.09,5.2,4
38.58,27.61,0,3.7
39.47,36.44,10,3.5
40.8,30.24,7,4.3
37.11,27.75,32.8,3.5
38.75,43.61,9.4,4.5
39.43,27.98,26,3.8
40.05,34.07,1,3.8
38.76,43.54,3.1,4.3
37.31,37.11,9.5,3.5
37.04,28.04,9,3.6
37.77,38.54,13,3.6
40.86,30.99,9,3.6
37.21,30.81,15,3.7
39.13,29.04,7.2,3.9
37.72,30,5,3.5
38.85,29.06,4,3.7
39.89,39.79,26,3.5
36.96,36.03,22,4.1
39.21,41.4,14,5
37.87,29.18,5,3.7
37.87,29.18,6,3.7
39.24,27.8,5,3.7
39.51,26.19,14,3.5
40.7,31.63,4,4
39.67,38.99,3.3,3.7
39.13,41.48,50,5
40.74,30.74,31,4.5
36.59,29.35,54,4.9
38.75,27.6,9,4.2
39.06,29.48,0,3.7
38.75,27.6,10,3.6
40.89,36.63,31,3.5
36.25,36.09,18,3.6
40.9,31.09,2,4.2
37.9,28.95,8,3.7
37.78,44.23,9,4.1
37.31,38.6,9.5,3.6
40.61,34.76,8.5,4.5
39.49,27.98,7.2,3.9
40.31,27,12,4.3
37.25,29.6,34,4.2
38.34,27.4,5,3.8
39.28,29.16,24,4.5
40.42,30.15,0,3.5
39.91,39.6,11,4.9
38.88,27.89,4,3.7
37.17,27.64,5,3.5
40.68,35.34,2,4.1
38.23,41.48,0,3.5
40.73,33.02,1,3.7
40.88,30.3,11,4.4
37.19,36.51,14,3.8
38.64,27.82,8,3.9
38.43,39.06,5.3,3.5
38.8,40.07,5,3.7
39.53,26.12,10.8,3.6
40.14,27.25,10,3.5
39.12,27.18,5,3.5
38.35,39.08,7,3.8
38.18,27.11,17.7,4.1
40.68,30.27,33,4.5
39.13,29.31,10,4.4
39.13,29.31,22,4.3
38.28,42.92,28,4.4
40.3,28.94,7,3.9
40.43,42.14,45,4.5
38.71,40.4,22,3.8
40.77,31.11,16,5
38.91,43.66,9,4.9
40.29,41.38,10,3.8
40.52,36.83,5,4.2
39.28,41.72,5,4
38.74,43.45,6,3.9
39.4,28.23,1.7,3.6
39.48,26.06,12.4,3.5
39.65,28.84,5,3.5
37.96,27.69,19,4.8
37.05,27.4,9,3.5
37.05,27.4,10,3.7
38.22,27.45,10,3.5
37.11,27.75,5,3.7
41.35,31.57,4,3.8
40.7,30,16,3.5
40.74,31.38,10,4.7
40.74,31.38,10,4.2
40.91,30.33,7,4
40.9,32.42,9,3.8
41.03,35.7,10.9,3.5
39.1,29.03,4.8,3.8
38.91,43.66,5,3.5
38.98,43.58,5,3.7
37.31,37.13,3,3.6
38.17,43.23,2.1,3.5
38.27,38.81,7.2,3.9
40.76,35.4,3,3.5
40.94,32.71,20,5.3
41.08,27.9,5,3.5
38.63,27.65,10,3.7
39.88,29.21,8,3.5
